dataset_name,simulator,layer,dataset_type,purpose,file_pattern,format,files_found,records_total,sample_records,schema_hint,sample_path,matched_paths
run_manifest,strict-runner,orchestration,json_manifest,"Canonical run configuration: scenario id, mode, SUMO config, Sionna scene, analysis focus, and native 5G-LENA radio parameters.",run_manifest.json,json,1,18,18,"keys=_defaults_path,_manifest_path,_repo_root,analysis,behavior,description,forbidden_patterns,mob_trace,mode,radio,resolved,run,scenario_id,schema_version,sionna_scene,strict_package_version,sumo_config,sumo_folder",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/run_manifest.json,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/run_manifest.json
run_summary,strict-runner,orchestration,json_summary,Compact per-seed outcome summary used for quick acceptance checks and thesis tables.,run_summary.json,json,1,27,27,"keys=collision_flag,collision_time_s,first_cam_reaction_s,first_control_action_s,first_cpm_reaction_s,first_lane_change_s,first_sensor_reaction_s,first_useful_warning_s,focus_tx_station_id,focus_vehicle,min_gap_m,min_ttc_s,mode,observed_prr_focus_vehicle,pscch_corrupt_rate,pscch_corrupt_total,pscch_rx_total,pssch_corrupt_rate,pssch_corrupt_total,pssch_overlap_pairs,pssch_rx_total,pssch_tx_total,run_dir,scenario_id,sci2_corrupt_rate,sci2_corrupt_total,seed",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/run_summary.json,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/run_summary.json
seed_summary,strict-runner,analysis,tabular_summary,Single-row thesis-ready per-seed KPI table joining safety and radio outcomes.,seed_summary.csv,csv,1,1,1,"scenario_id,mode,seed,run_dir,focus_vehicle,focus_tx_station_id,observed_prr_focus_vehicle,first_cam_reaction_s,first_cpm_reaction_s,first_sensor_reaction_s,first_control_action_s,first_useful_warning_s,first_lane_change_s,collision_flag,collision_time_s,min_gap_m,min_ttc_s,pscch_rx_total,pscch_corrupt_total,pscch_corrupt_rate,pssch_rx_total,pssch_corrupt_total,pssch_corrupt_rate,sci2_corrupt_total,sci2_corrupt_rate,pssch_tx_total,pssch_overlap_pairs",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/seed_summary.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/seed_summary.csv
behavior_text_log,ms-van3t / ns-3 app,application,text_log,"Human-readable execution log with Sionna handshake, per-vehicle totals, average PRR, and latency.",behavior/v2v-emergencyVehicleAlert-nrv2x.log,log,1,11,11,"Sumo: wait for socket: 5s | No socket connection to Sionna detected, establishing now... | Establishing local connection to Sionna at localhost:8103...",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/v2v-emergencyVehicleAlert-nrv2x.log,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/v2v-emergencyVehicleAlert-nrv2x.log
sumo_netstate,SUMO,mobility,xml_timeseries,Ground-truth vehicle trajectories from SUMO at each simulation step.,behavior/artifacts/eva-netstate.xml,xml,1,1300,1300,root=netstate; children=timestep,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-netstate.xml,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-netstate.xml
sumo_collision,SUMO,safety,xml_events,Ground-truth collision events produced by SUMO collision checking.,behavior/artifacts/eva-collision.xml,xml,1,0,0,root=collisions,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-collision.xml,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-collision.xml
vehicle_cam_state,ms-van3t / ns-3 app,application,tabular_per_vehicle,Decoded CAM content as seen by the application layer for each vehicle.,behavior/artifacts/eva-veh*-CAM.csv,csv,3,559,175,"messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh2-CAM.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh2-CAM.csv; /home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh3-CAM.csv; /home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh4-CAM.csv
vehicle_msg_trace,ms-van3t / ns-3 app,application,tabular_per_vehicle,Application-level message ledger for transmitted and received CAM/CPM messages.,behavior/artifacts/eva-veh*-MSG.csv,csv,3,857,281,"vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms,pkt_uid",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh2-MSG.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh2-MSG.csv; /home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh3-MSG.csv; /home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh4-MSG.csv
vehicle_control_trace,ms-van3t / ns-3 app,behavior,tabular_per_vehicle,"Behavior-controller decisions triggered by warnings or sensors, including slowdowns and lane actions.",behavior/artifacts/eva-veh*-CTRL.csv,csv,3,15,0,"time_s,vehicle_id,event_type,source_id,msg_seq,pkt_uid,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh2-CTRL.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh2-CTRL.csv; /home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh3-CTRL.csv; /home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh4-CTRL.csv
vehicle_profile_trace,ms-van3t / ns-3 app,configuration,tabular_per_vehicle,Per-vehicle reception profile snapshot; useful to verify that strict runs are not using legacy shims.,behavior/artifacts/eva-veh*-PROFILE.csv,csv,3,3,1,"vehicle_id,profile_source,rx_drop_prob_phy_cam,rx_drop_prob_phy_cpm,equiv_tx_power_dbm,target_prr,expected_prr_if_only_profile",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh2-PROFILE.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh2-PROFILE.csv; /home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh3-PROFILE.csv; /home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh4-PROFILE.csv
vehicle_phy_trace,ms-van3t / ns-3 app,cross_layer,tabular_per_vehicle,"Per-packet PHY observations exported to the app layer: SINR, RSRP, distance, size, and reception result.",behavior/artifacts/eva-veh*-PHY.csv,csv,3,559,175,"time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh2-PHY.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh2-PHY.csv; /home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh3-PHY.csv; /home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/eva-veh4-PHY.csv
collision_risk_timeseries,analysis pipeline,analysis,tabular_timeseries,Time series of minimum gap and TTC derived from SUMO netstate.,behavior/artifacts/collision_risk/collision_risk_timeseries.csv,csv,1,440,440,"time_s,min_gap_m,min_ttc_s,vehicles",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/collision_risk/collision_risk_timeseries.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/collision_risk/collision_risk_timeseries.csv
collision_risk_summary,analysis pipeline,analysis,tabular_summary,Compact safety summary derived from the collision-risk time series.,behavior/artifacts/collision_risk/collision_risk_summary.csv,csv,1,1,1,"timesteps,mean_vehicles,min_gap_m,min_ttc_s,risky_gap_events,risky_ttc_events",/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/collision_risk/collision_risk_summary.csv,/home/afetz/work/clean/NEWWAY/analysis/strict_runs_smoke_full/strict_intersection/radar_good/seed-017/behavior/artifacts/collision_risk/collision_risk_summary.csv
