run_id,scenario,source_stack,sample_kind,metric_name,metric_scope,entity_id,src_id,dst_id,ts_us,value,unit,module_path,stat_name,input_file,raw_row_num
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,event,cam_rx_count,link,1,3,1,3125000,1,count,,cam_rx_count,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh1-CAM.csv,2
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,derived,speed_mps,node,1,3,1,3125000,1.11,m/s,,speed_mps,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh1-CAM.csv,2
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,derived,acceleration_mps2,node,1,3,1,3125000,3.4,m/s^2,,acceleration_mps2,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh1-CAM.csv,2
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,event,cam_rx_count,link,1,3,1,3325000,1,count,,cam_rx_count,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh1-CAM.csv,3
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,derived,speed_mps,node,1,3,1,3325000,1.84,m/s,,speed_mps,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh1-CAM.csv,3
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,derived,acceleration_mps2,node,1,3,1,3325000,3.4,m/s^2,,acceleration_mps2,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh1-CAM.csv,3
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,event,cam_rx_count,link,1,2,1,3341000,1,count,,cam_rx_count,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh1-CAM.csv,4
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,derived,speed_mps,node,1,2,1,3341000,3.38,m/s,,speed_mps,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh1-CAM.csv,4
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,derived,acceleration_mps2,node,1,2,1,3341000,3.8,m/s^2,,acceleration_mps2,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh1-CAM.csv,4
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,event,cam_rx_count,link,2,1,2,4100000,1,count,,cam_rx_count,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh2-CAM.csv,2
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,derived,speed_mps,node,2,1,2,4100000,2.5,m/s,,speed_mps,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh2-CAM.csv,2
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,derived,acceleration_mps2,node,2,1,2,4100000,2.1,m/s^2,,acceleration_mps2,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh2-CAM.csv,2
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,event,cam_rx_count,link,2,3,2,4300000,1,count,,cam_rx_count,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh2-CAM.csv,3
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,derived,speed_mps,node,2,3,2,4300000,2.75,m/s,,speed_mps,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh2-CAM.csv,3
van3twin_cam_sample_001,van3twin_cam_sample,van3twin_ns3,derived,acceleration_mps2,node,2,3,2,4300000,2.2,m/s^2,,acceleration_mps2,tests\smoke_results_pipeline\data\van3twin_cam_sample\test_1_p0005-veh2-CAM.csv,3
